#,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,110.0,31000.0,Deuta Pública Intereses,,110.0,3.0,800000.0,,800000.0,
,110.0,31001.0,Deuta Pública.Intereses a corto plazo,,110.0,3.0,,,,438991.12
,110.0,35900.0,Deuta Pública.Otros gastos financieros,,110.0,3.0,,,,0.74
,110.0,9120102.0,Deuta Pública.Ptmo Dexia Sabadell 2002 36152728,,110.0,9.0,,,,236507.8
,110.0,9120103.0,Deuta Pública.Ptmo BCL 2006 Hipódromo 45026555,,110.0,9.0,,,,385703.32
,110.0,9120104.0,Deuta Pública.Ptmo Dexia Sabadell 2009 36154761,,110.0,9.0,,,,725968.52
,110.0,9120105.0,"Deuta Pública.Ptmo RDL 5/2009, 4 de abril, La Caixa 40711765",,110.0,9.0,,,,540000.0
,110.0,9120106.0,"Deuta Pública.Ptmo RDL 5/2009, 4 de abril, Caja Madrid 1167547558",,110.0,9.0,,,,628000.0
,110.0,9120107.0,"Deuta Pública.Ptmo RDL 8/2011, 1 de julio, BBVA 1 0201505583",,110.0,9.0,,,,647578.18
,110.0,9120108.0,"Deuta Pública.Ptmo RDL 8/2011, 1 de julio, BBVA 2 0201505675",,110.0,9.0,,,,343740.32
,110.0,9120109.0,"Deuta Pública.Ptmo RDL 8/2011, 1 de julio, BBVA 3 0201505750",,110.0,9.0,,,,62878.54
,110.0,9121001.0,"Deuta Pública.FFPP RDL 4/2012, Banesto 000273",,110.0,9.0,,,,10707.04
,110.0,9121002.0,"Deuta Pública.FFPP RDL 4/2012, Sabadell 535759",,110.0,9.0,,,,8959.76
,110.0,9121003.0,"Deuta Pública.FFPP RDL 4/2012, La Caixa 089732",,110.0,9.0,,,,23829.09
,110.0,9121004.0,"Deuta Pública.FFPP RDL 4/2012, Bankinter 008863",,110.0,9.0,,,,7258.42
,110.0,9121005.0,"Deuta Pública.FFPP RDL 4/2012,  Bankia 083511",,110.0,9.0,,,,91731.59
,110.0,9121006.0,"Deuta Pública.FFPP RDL 4/2012, Santander 888166",,110.0,9.0,,,,20273.56
,110.0,9121007.0,"Deuta Pública.FFPP RDL 4/2012, Banco Popular 000369",,110.0,9.0,,,,18705.6
,110.0,9121008.0,"Deuta Pública.FFPP RDL 4/2012,  BBVA 505927",,110.0,9.0,,,,152428.35
,110.0,9121009.0,"Deuta Pública.FFPP RDL 4/2012, CAM 020133",,110.0,9.0,,,,7270.92
,110.0,9121010.0,"Deuta Pública.FFPP RDL 4/2012, Sa Nostra 017289",,110.0,9.0,,,,19672.78
,110.0,9121011.0,"Deuta Pública.FFPP RDL 4/2012, Caja Mar 000019",,110.0,9.0,,,,7083.82
,110.0,9121012.0,"Deuta Pública.FFPP RDL 4/2012, Sabadell 565960",,110.0,9.0,,,,5652.51
,110.0,9122002.0,"Deuta Pública.FFPP RDL 4/2012, Sabadell 535759 FECOEF",,110.0,9.0,,,,111.06
,110.0,9122003.0,"Deuta Pública.FFPP RDL 4/2012,  La Caixa 089732 FECOEF",,110.0,9.0,,,,1144.94
,110.0,9122004.0,"Deuta Pública.FFPP RDL 4/2012, Bankinter 008863 FECOEF",,110.0,9.0,,,,967.29
,110.0,9122006.0,"Deuta Pública.FFPP RDL 4/2012, Santander 888166 FECOEF",,110.0,9.0,,,,4664.28
,110.0,9122007.0,"Deuta Pública.FFPP RDL 4/2012, Banco Popular 000369 FECOEF",,110.0,9.0,,,,760.54
,110.0,9122009.0,"Deuta Pública.FFPP RDL 4/2012, CAM 020133 FECOEF",,110.0,9.0,,,,947.66
