#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2016,,10000,Impost sobre la Renta de les Persones físiques,1122620.0,,,,1122620.0,1408778.13
2016,,17100,Recargo provincial en el Impuesto sobre Actividades Económicas,260000.0,,,,260000.0,542527.3
2016,,17900,Recàrrec IAE del Ajuntaments,550000.0,,,,550000.0,59623.39
2016,,21000,Impost sobre IVA,2141830.0,,,,2141830.0,1871185.2
2016,,22000,Impuesto sobre el alcohol y bebidas derivadas,26520.0,,,,26520.0,27775.08
2016,,22001,Impuesto sobre la cerveza,9270.0,,,,9270.0,9379.92
2016,,22003,Impuesto sobre las labores del tabaco,348150.0,,,,348150.0,620024.39
2016,,22004,Impuesto sobre hidrocarburos,239210.0,,,,239210.0,285753.67
2016,,22006,Impuesto sobre productos intermedios,590.0,,,,590.0,700.28
2016,,31000,Taxes Hospital Cas Serres,850000.0,,,,850000.0,1039372.41
2016,,31200,Taxes Escoletes,350000.0,,,,350000.0,399735.04
2016,,31201,Taxes Cultura Edif. Cas Serres,2000.0,,,,2000.0,4293.5
2016,,31300,Taxes Instal.lacions Esportives,468000.0,,,,468000.0,333940.86
2016,,31900,Taxes ITV,1578920.5,,,,1578920.5,1410872.34
2016,,31901,Taxes Transports,55000.0,,,,55000.0,73206.57
2016,,31902,"Taxes agricultura, ramederia i Pesca",5000.0,,,,5000.0,2555.87
2016,,31903,Taxes ordenació turística,600000.0,,,,600000.0,3135901.64
2016,,31904,Taxes Joventut,100000.0,,,,100000.0,90319.1
2016,,31905,Taxes centre exàmens Conduir,89000.0,,,,89000.0,60302.0
2016,,31907,Taxes Servei d´Extinció d´Incendis,26000.0,,,,26000.0,1161.26
2016,,31910,Tasas Ordenacio del Territori,8000.0,,,,8000.0,9036.93
2016,,31911,Tasas espectáculos y actividades recreativas,30000.0,,,,30000.0,22227.27
2016,,31912,Tasas Artesanía,,,,,,2282.56
2016,,32000,Tasas licencia caza,58000.0,,,,58000.0,32171.13
2016,,32001,Tasas licencia pesca,75000.0,,,,75000.0,61574.65
2016,,32200,Taxes urbanisme i habitabilitat,73000.0,,,,73000.0,25825.84
2016,,32500,Expedicion de Documentos,3000.0,,,,3000.0,114.68
2016,,32501,Tasas Derechos Examen Acceso Admon. Pública.,,,,,,7517.28
2016,,33901,Terrenys i/o Edificacions de Sa Coma,,,,,,97145.0
2016,,34901,Preus públics diverespai.,25000.0,,,,25000.0,
2016,,34902,Precios Públicos Actividades Culturales,,,,,,640.0
2016,,35100,Convenio UNESPA Bomberos,563541.33,,,,563541.33,645144.76
2016,,36000,Ingresos por Ventas,207000.0,,,,207000.0,8938.98
2016,,38900,Reintegros de Cerrados,,,,,,274756.96
2016,,39100,Multas por infracciones urbanísticas,6000.0,,,,6000.0,
2016,,3919001,Sanciones transporte,140000.0,,,,140000.0,481035.27
2016,,3919002,Sanciones turismo,180000.0,,,,180000.0,100708.0
2016,,3919003,Sanciones pesca,20000.0,,,,20000.0,16232.54
2016,,3919004,Sanciones caça,3000.0,,,,3000.0,3629.02
2016,,3919005,Multas de Carreteras,,,,,,61002.54
2016,,3919006,Multas de Patrimonio,7000.0,,,,7000.0,
2016,,3919007,Multas de Sanitat Vegetal,,,,,,6652.0
2016,,3919008,Multas de Sanitat Animal,,,,,,600.0
2016,,3919010,Multas de Medi Ambient,,,,,,900.0
2016,,3919099,Multas. Otras Multas Diversas,,,,,,30530.72
2016,,39211,Recargo de apremio,14000.0,,,,14000.0,14679.99
2016,,39300,Interessos de demora,9000.0,,,,9000.0,33418.73
2016,,39800,Indemnizaciones de seguros de no vida,1500.0,,,,1500.0,4132.21
2016,,39900,Otros ingresos diversos,20000.0,,,,20000.0,3183.3
2016,,39902,Costas procedimiento exptes. ejecutiva,1000.0,,,,1000.0,2259.55
2016,,39904,Imprevistos,100.0,,,,100.0,
2016,,39905,Costas Judiciales,10000.0,,,,10000.0,26912.61
2016,,39907,Anuncios prensa i boib exptes. contratación,500.0,,,,500.0,642.86
2016,,42010,Fondo Complementario de Financiac,13543390.0,,,,13543390.0,14142573.98
2016,,42091,Conveni Autoritat Portuaria,49648.5,,,,49648.5,
2016,,4219000,De otros Organismos Autónomos y Agencias. Transferencias,,,,,,49600.0
2016,,4230000,De Loterías y Apuestas del Estado. Transferencias,,,,,,78721.56
2016,,4500101,Transferències corrents incondicionades,35691952.1,,,,35691952.1,35691952.1
2016,,4500103,Disposició Transitòria Primera 2 Ley 27/2013,4418431.5,,,,4418431.5,
2016,,4500104,Finançament Promoció Turistica any 2016,,,,,,547047.0
2016,,4500200,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad. Transferencias,,,,,,
2016,,4500203,Renda Minima d´Inserció,,,,,,447348.44
2016,,4500204,Pla Prestacions Básiques,1000000.0,,,,1000000.0,1327510.36
2016,,4500205,Conveni Maltractament Infantil,,,,,,45000.0
2016,,4500206,Persones en Situació de Dependència,,,,,,792665.74
2016,,4500207,Conveni atenció persones incapacitades PIATAE,,,,,,42867.2
2016,,4500208,Menores,,,,,,
2016,,4500210,Conveni Institud Balear de la Dona,,,,,,328090.0
2016,,4500212,Conveni Drogodependències,,,,,,254976.0
2016,,4500214,Subv. Inserció Laboral Menors amb Delictes,,,,,,3276.49
2016,,4500215,Familia i Infancia,,,,,,117175.34
2016,,4500216,Inserció Persones Inmigrants,,,,,,252286.41
2016,,45030,Transferencias corrientes en cumplimiento de convenios Escola Turisme,200000.0,,,,200000.0,
2016,,4506001,Diada de les llles Balears,,,,,,22500.0
2016,,4506004,Conveni CAIB manteniment edifici EBAP a Sa Coma,3033.0,,,,3033.0,3033.0
2016,,4506007,Conveni Carreteras,,,,,,
2016,,4506009,Conveni en matèria de foment de l´Esport a Eivissa,,,,,,29500.0
2016,,4506010,Conveni en matèria de Promoció Turística,,,,,,94067.64
2016,,4508002,Deficit Sanitari,1997259.57,,,,1997259.57,
2016,,4508004,Soib Accions Formatives,,,,,,14400.0
2016,,45100,Transferencias CCAA de Organismos,50500.0,,,,50500.0,
2016,,45300,Conveni Institut Balear de la Natura (IBANAT),30888.38,,,,30888.38,
2016,,45302,Conveni GEIBSAU cessió edifici 103 de Sa Coma emergències,7602.6,,,,7602.6,
2016,,46204,Ajuntament d´Eivissa,80239.97,,,,80239.97,94407.97
2016,,46205,Ajuntament de Santa Eularia,51586.48,,,,51586.48,62271.7
2016,,46206,Ajuntament de Sant Josep,36625.85,,,,36625.85,43857.85
2016,,46207,Ajuntament de Sant Joan,4727.38,,,,4727.38,1616.0
2016,,46208,Ajuntament de Sant Antoni,36176.57,,,,36176.57,43096.69
2016,,52000,Interessos bancàris,100000.0,,,,100000.0,63918.84
2016,,55000,Ing. Patrim. Conces. i Aporfitaments Conc. Admves.,10860.0,,,,10860.0,182325.0
2016,,55900,Otras concesiones y aprovechamientos,531000.0,,,,531000.0,58250.0
2016,,72002,Conveni carreteres ministeri de Foment,4516820.0,16654810.0,16654810.0,,21171630.0,
2016,,7506002,Conv. projecte Slow Breaks,,,,,,
2016,,7506003,Convenio Infraestructuras,5822820.54,2914093.77,2914093.77,,8736914.31,
2016,,7508000,Otras transferencias de la Administración General de la Comunidad Autónoma. Transferencias,,,,,,8361176.32
2016,,7508002,Transferències incondiconades,8361176.32,,,,8361176.32,
2016,,79201,Transferència fons Europeus 2007-2013,,,,,,356627.2
