#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2014,,10000,Impost sobre la Renta de les Persones físiques,1024940.0,,,,1024940.0,1167769.53
2014,,17100,Recargo provincial en el Impuesto sobre Actividades Económicas,245000.0,,,,245000.0,554648.31
2014,,17900,Recàrrec IAE del Ajuntaments,,,,,,287345.81
2014,,21000,Impost sobre IVA,1845550.0,,,,1845550.0,2091793.03
2014,,22000,Impuesto sobre el alcohol y bebidas derivadas,25320.0,,,,25320.0,26054.52
2014,,22001,Impuesto sobre la cerveza,8490.0,,,,8490.0,9436.34
2014,,22003,Impuesto sobre las labores del tabaco,302220.0,,,,302220.0,73568.81
2014,,22004,Impuesto sobre hidrocarburos,195100.0,,,,195100.0,195107.4
2014,,22006,Impuesto sobre productos intermedios,550.0,,,,550.0,621.75
2014,,31000,Taxes Hospital Cas Serres,810000.0,,,,810000.0,839967.76
2014,,31200,Taxes Escoletes,299500.0,,,,299500.0,346336.53
2014,,31201,Taxes Cultura Edif. Cas Serres,,,,,,1533.3
2014,,31300,Taxes Instal.lacions Esportives,468000.0,,,,468000.0,363532.76
2014,,31900,Taxes ITV,1578920.5,,,,1578920.5,1330977.52
2014,,31901,Taxes Transports,35000.0,,,,35000.0,65970.45
2014,,31902,"Taxes agricultura, ramederia i Pesca",5000.0,,,,5000.0,3363.73
2014,,31903,Taxes ordenació turística,300000.0,,,,300000.0,1090563.63
2014,,31904,Taxes Joventut,89000.0,,,,89000.0,156091.25
2014,,31905,Taxes centre exàmens Conduir,89000.0,,,,89000.0,97956.19
2014,,31907,Taxes Servei d´Extinció d´Incendis,26000.0,,,,26000.0,2454.29
2014,,31909,Taxes caça,,,,,,3520.42
2014,,31910,Tasas Ordenacio del Territori,8000.0,,,,8000.0,4987.49
2014,,31911,Tasas espectáculos y actividades recreativas,24450.0,,,,24450.0,37815.63
2014,,32000,Tasas licencia caza,58000.0,,,,58000.0,30945.5
2014,,32001,Tasas licencia pesca,60000.0,,,,60000.0,101287.35
2014,,32200,Taxes urbanisme i habitabilitat,73000.0,,,,73000.0,32667.85
2014,,32500,Expedicion de Documentos,3000.0,,,,3000.0,1440.42
2014,,34201,Preu Públic per Estudis Impartits a l´EADE (Escola d´Art Dramatic d´Eivissa),,,,,,600.0
2014,,34400,Entradas a musesos y espectáculos,,,,,,282.9
2014,,34402,Entradas a espectáculos.,,3304.0,3304.0,,3304.0,3915.4
2014,,34901,Preus públics diverespai.,25000.0,,,,25000.0,
2014,,35100,Convenio UNESPA Bomberos,412000.0,,,,412000.0,412000.0
2014,,36000,Ingresos por Ventas,200800.0,,,,200800.0,4460.55
2014,,38900,Reintegros de Cerrados,,,,,,98438.1
2014,,39100,Multas por infracciones urbanísticas,6000.0,,,,6000.0,
2014,,3919001,Sanciones transporte,60000.0,,,,60000.0,136977.02
2014,,3919002,Sanciones turismo,120000.0,,,,120000.0,213424.73
2014,,3919003,Sanciones pesca,10000.0,,,,10000.0,25216.0
2014,,3919004,Sanciones caça,1500.0,,,,1500.0,2995.28
2014,,39194,Sancions Patrimoni,,,,,,102000.0
2014,,39210,Recargo ejecutivo,,,,,,75.05
2014,,39211,Recargo de apremio,14000.0,,,,14000.0,10859.39
2014,,39300,Interessos de demora,7000.0,,,,7000.0,12833.3
2014,,39800,Indemnizaciones de seguros de no vida,1500.0,,,,1500.0,378.99
2014,,39900,Otros ingresos diversos,18500.0,,,,18500.0,34088.82
2014,,39902,Costas procedimiento exptes. ejecutiva,,,,,,638.43
2014,,39904,Imprevistos,,,,,,79.86
2014,,39905,Costas Judiciales,,,,,,18411.78
2014,,39907,Anuncios prensa i boib exptes. contratación,,,,,,3601.79
2014,,42010,Fondo Complementario de Financiación,13034040.0,,,,13034040.0,13561807.35
2014,,42091,Conveni Autoritat Portuaria,,,,,,48581.77
2014,,42190,De otros Organismos Autónomos y Agencias,,,,,,
2014,,4500101,Transferències corrents incondicionades,26217000.0,,,,26217000.0,26442216.63
2014,,4500203,Renda Mínima d'inserció,,53370.74,53370.74,,53370.74,271970.94
2014,,4500204,Pla Prestacions Básiques,936059.16,,,,936059.16,1025035.99
2014,,4500206,Persones en Situació de Dependència,,95318.85,95318.85,,95318.85,718173.95
2014,,4500207,Conveni atenció persones incapacitades PIATAE,,,,,,53204.0
2014,,4500208,Menores,,,,,,
2014,,4500209,Actuacions d´acolliment menors,,,,,,128090.0
2014,,4500210,Conveni Institud Balear de la Dona,,,,,,260092.57
2014,,4500211,Aportació Cas Serres,,,,,,998629.8
2014,,4500212,Conveni Drogodependències,,,,,,117488.0
2014,,4500213,Conveni Discapacitats,,426228.75,426228.75,,426228.75,1173881.22
2014,,45030,Transferencias corrientes en cumplimiento de convenios Escola Turisme,200000.0,,,,200000.0,184706.83
2014,,4505001,Conveni Millora Agraria,41696.94,,,,41696.94,36186.0
2014,,4505002,AODL Educacion y Cultura,,,,,,23138.96
2014,,4506000,ADOL Industria,,,,,,
2014,,4506001,Diada de les llles Balears,,,,,,22500.0
2014,,4506002,Convenio Mantenimiento Sede Consell Insular,139563.23,,,,139563.23,203090.14
2014,,4506003,Conveni Sosteniment Sa Coma,20000.0,,,,20000.0,3033.0
2014,,4506004,"Programa CC.LL. 103/08, Eivissa Paisatge Humà.",,,,,,
2014,,4506006,Convenis Patrimoni,,,,,,23119.03
2014,,4506007,Conveni Carreteras,,,,,,506833.08
2014,,4506008,Foment Implantacio Energies Renovables,,,,,,
2014,,4508001,Disposició Adicional 14 Projecte  Presuupost CAIB,3000000.0,,,,3000000.0,
2014,,4508002,Deficit Sanitari,1997259.57,,,,1997259.57,
2014,,4508004,Soib Accions Formatives,,,,,,58893.79
2014,,4508008,Sa Comandancia,,,,,,3105833.21
2014,,4508009,Ses Feixes i Talamnaca,,,,,,224609.04
2014,,4508010,Centre Can Marines,,,,,,662332.58
2014,,4508099,Tallers d´ocupació .Ex. 33/2010 i 34/2010,,,,,,
2014,,45100,Transferencias CCAA de Organismos autonomos u otras entidades,50500.0,,,,50500.0,13551.97
2014,,45302,FOGAIBA,,,,,,20578.2
